Fecha,Temperatura media Cº
7/6/2021,13.3
8/6/2021,11.3
9/6/2021,10.8
10/6/2021,11.2
11/6/2021,10.8
12/6/2021,12
13/6/2021,10.2
14/6/2021,10.2
15/6/2021,9.1
16/6/2021,11.5
17/6/2021,9
18/6/2021,7.7
19/6/2021,9.7
20/6/2021,7.4
21/6/2021,8
22/6/2021,8.6
23/6/2021,8.7
24/6/2021,7.3
25/6/2021,8.6
26/6/2021,7.3
27/6/2021,4.1
28/6/2021,9.2
29/6/2021,7.7
30/6/2021,8.3
1/7/2021,8
2/7/2021,8.3
3/7/2021,7.8
4/7/2021,7.9
5/7/2021,8.5
6/7/2021,7.5
7/7/2021,7.4
8/7/2021,8.7
9/7/2021,7.2
10/7/2021,7.7
11/7/2021,8.2
12/7/2021,6.6
13/7/2021,5.2
14/7/2021,5.3
15/7/2021,6.5
16/7/2021,6.4
17/7/2021,6
18/7/2021,8
19/7/2021,9.1
20/7/2021,10.9
21/7/2021,11.8
22/7/2021,11.3
23/7/2021,9.8
24/7/2021,8
25/7/2021,8.4
26/7/2021,9.7
27/7/2021,7.6
28/7/2021,8.3
29/7/2021,9.2
30/7/2021,9.4
31/7/2021,9.4
1/8/2021,11.7
2/8/2021,12.8
3/8/2021,11.6
4/8/2021,10
5/8/2021,8.8
6/8/2021,9.4
7/8/2021,8.6
8/8/2021,9.9
9/8/2021,7.7
10/8/2021,8.7
11/8/2021,9.3
12/8/2021,6.5
13/8/2021,7.2
14/8/2021,7.9
15/8/2021,8.2
16/8/2021,10.4
17/8/2021,12.3
18/8/2021,13.2
19/8/2021,10.7
20/8/2021,9.1
21/8/2021,10.7
22/8/2021,11.5
23/8/2021,9.9
24/8/2021,9
25/8/2021,10.4
26/8/2021,9.1
27/8/2021,9.3
28/8/2021,13.6
29/8/2021,13.8
30/8/2021,10.6
31/8/2021,11.5
1/9/2021,10.6
2/9/2021,12.7
3/9/2021,10.2
4/9/2021,11.9
5/9/2021,11.5
6/9/2021,10.7
7/9/2021,9.6
8/9/2021,8.6
9/9/2021,11.6
10/9/2021,13.5
11/9/2021,10.6
12/9/2021,11.3
13/9/2021,9.5
14/9/2021,9.1
15/9/2021,11.3
16/9/2021,13.1
17/9/2021,13.7
18/9/2021,12.5
19/9/2021,11.4
20/9/2021,13.3
21/9/2021,12.2
22/9/2021,12.8
23/9/2021,14.3
24/9/2021,17.4
25/9/2021,13.5
26/9/2021,13.8
27/9/2021,15.9
